assay_name,cell_line
5500994158987071513209_F12,EW-22
5500994172383112813929_F12,HT-144
5500994158987071513202_F12,ME-180
5500994158987071513207_F12,T47D
5500994172383112813928_F12,IGR-37
5500994158987071513201_F12,PL-21
5500994172383112813930_F12,SNU-398
5500994173212120213068_G01,SNU-81
5500994157493061613625_G01,CAL-29
5500994158987071513209_G01,A101D
5500994172383112813929_G01,EC-GI-10
5500994158987071513202_G01,KYSE-140
5500994158987071513207_G01,MKN28
5500994172383112813928_G01,SAT
5500994172383112813930_G01,NCI-H2126
5500994172948120113978_G01,COR-L95
5500994173212120213068_G02,SK-MEL-31
5500994157493061613625_G02,UACC-257
5500994158987071513209_G02,A549
5500994172383112813929_G02,ABC-1
5500994158987071513202_G02,KALS-1
5500994158987071513207_G02,MMAC-SF
5500994172383112813928_G02,SW1573
5500994158987071513201_G02,RERF-LC-Sq1
5500994172383112813930_G02,NCI-H2342
5500994172948120113978_G02,MHH-CALL-2
5500994173212120213068_G03,Sci-1
5500994157493061613625_G03,PA-1
5500994158987071513209_G03,BALL-1
5500994172383112813929_G03,CAL-27
5500994158987071513202_G03,KNS-81-FD
5500994158987071513207_G03,U251
5500994172383112813928_G03,SKN-3
5500994158987071513201_G03,RPMI-6666
5500994172383112813930_G03,NCI-H630
5500994172948120113978_G03,COR-L303
5500994173212120213068_G04,ME-1
5500994157493061613625_G04,H2591
5500994158987071513209_G04,BICR78
5500994172383112813929_G04,CGTH-W-1
5500994158987071513202_G04,LB647-SCLC
5500994158987071513207_G04,VA-ES-BJ
5500994172383112813928_G04,SKM-1
5500994158987071513201_G04,P30-OHK
5500994172383112813930_G04,NCI-H596
5500994172948120113978_G04,MDA-MB-415
5500994173212120213068_G05,HSC-39
5500994157493061613625_G05,H513
5500994158987071513209_G05,C3A
5500994172383112813929_G05,DND-41
5500994158987071513202_G05,LU-139
5500994158987071513207_G05,WSU-DLCL2
5500994172383112813928_G05,SK-MEL-30
5500994158987071513201_G05,PCI-15A
5500994172383112813930_G05,NCI-H82
5500994172948120113978_G05,JHOS-3
5500994173212120213068_G06,CAL-148
5500994157493061613625_G06,H2461
5500994158987071513209_G06,CHL-1
5500994172383112813929_G06,EW-24
5500994158987071513202_G06,LS-123
5500994158987071513207_G06,SAS
5500994172383112813928_G06,HUTU-80
5500994158987071513201_G06,OAW-28
5500994172383112813930_G06,NB12
5500994172948120113978_G06,NB4
5500994173212120213068_G07,P31-FUJ
5500994157493061613625_G07,KELLY
5500994158987071513209_G07,CAL-39
5500994172383112813929_G07,EMC-BAC-1
5500994158987071513207_G07,TE-5
5500994172383112813928_G07,HOP-62
5500994158987071513201_G07,NCI-H1688
5500994172383112813930_G07,NH-12
5500994172948120113978_G07,IOSE-397
5500994173212120213068_G08,NCCIT
5500994157493061613625_G08,NCI-H661
5500994158987071513209_G08,COLO-824
5500994172383112813929_G08,HCC70
5500994158987071513202_G08,GCIY
5500994158987071513207_G08,TUR
5500994172383112813928_G08,IHH-4
5500994158987071513201_G08,NCI-H1568
5500994172383112813930_G08,NB5
5500994172948120113978_G08,HCE-7
